,ingredient,count,logscore,softmax
218,dried,16,4.0,0.00013172328098659715
219,sultana raisins,15,3.906890596,0.00012001226693236436
220,cooked,15,3.906890596,0.00012001226693236436
221,"cream tartar, ",14,3.807354922,0.00010864202335013351
222,dry mushrooms,14,3.807354922,0.00010864202335013351
223,ginger juice,14,3.807354922,0.00010864202335013351
224,round steak,14,3.807354922,0.00010864202335013351
225,bak ' g powder,14,3.807354922,0.00010864202335013351
226,lamb,14,3.807354922,0.00010864202335013351
227,cabbage,14,3.807354922,0.00010864202335013351
228,mustard seed,14,3.807354922,0.00010864202335013351
229,grape,14,3.807354922,0.00010864202335013351
230,chestnuts,14,3.807354922,0.00010864202335013351
231,ice,14,3.807354922,0.00010864202335013351
232,almond,14,3.807354922,0.00010864202335013351
233,corn sirup,14,3.807354922,0.00010864202335013351
234,marshmallow,14,3.807354922,0.00010864202335013351
235,light,14,3.807354922,0.00010864202335013351
236,maple sirup,14,3.807354922,0.00010864202335013351
237,peanuts,14,3.807354922,0.00010864202335013351
238,cooked rice,14,3.807354922,0.00010864202335013351
239,bread - crumbs,14,3.807354922,0.00010864202335013351
240,raspberries,14,3.807354922,0.00010864202335013351
241,wheat flour,14,3.807354922,0.00010864202335013351
242,black pepper,13,3.700439718,9.762592508267758e-05
243,shrimp,12,3.584962501,8.697892665814561e-05
244,chinese mushrooms,12,3.584962501,8.697892665814561e-05
245,madeira wine,12,3.584962501,8.697892665814561e-05
246,pastry flour,12,3.584962501,8.697892665814561e-05
247,string beans,12,3.584962501,8.697892665814561e-05
248,stick,12,3.584962501,8.697892665814561e-05
249,wine,12,3.584962501,8.697892665814561e-05
250,lean beef,12,3.584962501,8.697892665814561e-05
251,condensed milk,12,3.584962501,8.697892665814561e-05
252,marmalade,12,3.584962501,8.697892665814561e-05
253,maple,12,3.584962501,8.697892665814561e-05
254,cream cheese,12,3.584962501,8.697892665814561e-05
255,coconut,12,3.584962501,8.697892665814561e-05
256,cucumber,12,3.584962501,8.697892665814561e-05
257,tart,12,3.584962501,8.697892665814561e-05
258,walnut,12,3.584962501,8.697892665814561e-05
259,seedless raisins,12,3.584962501,8.697892665814561e-05
260,english,11,3.459431619,7.671789440389523e-05
261,black,11,3.459431619,7.671789440389523e-05
262,red pepper,11,3.459431619,7.671789440389523e-05
263,strawberry,11,3.459431619,7.671789440389523e-05
264,blanched almonds,11,3.459431619,7.671789440389523e-05
265,white pepper,11,3.459431619,7.671789440389523e-05
266,canned,11,3.459431619,7.671789440389523e-05
267,walnut meats,11,3.459431619,7.671789440389523e-05
268,vanila,10,3.321928095,6.686204461018905e-05
269,whiskey,10,3.321928095,6.686204461018905e-05
270,ginger root,10,3.321928095,6.686204461018905e-05
271,pineapple juice,10,3.321928095,6.686204461018905e-05
272,crab meat,10,3.321928095,6.686204461018905e-05
273,white onions,10,3.321928095,6.686204461018905e-05
274,tea,10,3.321928095,6.686204461018905e-05
275,charged,10,3.321928095,6.686204461018905e-05
276,tea infusion,10,3.321928095,6.686204461018905e-05
277,potato,10,3.321928095,6.686204461018905e-05
278,sherbet,10,3.321928095,6.686204461018905e-05
279,fruit,10,3.321928095,6.686204461018905e-05
280,berries,10,3.321928095,6.686204461018905e-05
281,granulated gelatin,10,3.321928095,6.686204461018905e-05
282,pecan,10,3.321928095,6.686204461018905e-05
283,brown,10,3.321928095,6.686204461018905e-05
284,water cress,10,3.321928095,6.686204461018905e-05
285,dry,10,3.321928095,6.686204461018905e-05
286,soft,10,3.321928095,6.686204461018905e-05
287,cooked tomatoes,10,3.321928095,6.686204461018905e-05
288,lima beans,10,3.321928095,6.686204461018905e-05
289,peanut butter,10,3.321928095,6.686204461018905e-05
290,no,10,3.321928095,6.686204461018905e-05
291,tomato,10,3.321928095,6.686204461018905e-05
292,chicken stock,10,3.321928095,6.686204461018905e-05
293,raspberry,10,3.321928095,6.686204461018905e-05
294,powdered cloves,9,3.169925001,5.7433535046910264e-05
295,yolk of,9,3.169925001,5.7433535046910264e-05
296,barley,9,3.169925001,5.7433535046910264e-05
297,blanched,9,3.169925001,5.7433535046910264e-05
298,celery salt,9,3.169925001,5.7433535046910264e-05
299,mint,9,3.169925001,5.7433535046910264e-05
300,candied cherries,9,3.169925001,5.7433535046910264e-05
301,seeded,9,3.169925001,5.7433535046910264e-05
302,peas,9,3.169925001,5.7433535046910264e-05
303,beets,9,3.169925001,5.7433535046910264e-05
304,macaroni,9,3.169925001,5.7433535046910264e-05
305,white stock,9,3.169925001,5.7433535046910264e-05
306,cooked potatoes,9,3.169925001,5.7433535046910264e-05
307,raw,9,3.169925001,5.7433535046910264e-05
308,powdered mace,8,3.0,4.845828699861823e-05
309,seeded raisins,8,3.0,4.845828699861823e-05
310,pineapple syrup,8,3.0,4.845828699861823e-05
311,meat,8,3.0,4.845828699861823e-05
312,catsup,8,3.0,4.845828699861823e-05
313,canned tomatoes,8,3.0,4.845828699861823e-05
314,graham,8,3.0,4.845828699861823e-05
315,chinese ham dice,8,3.0,4.845828699861823e-05
316,bean cake,8,3.0,4.845828699861823e-05
317,salted almonds,8,3.0,4.845828699861823e-05
318,white nuts,8,3.0,4.845828699861823e-05
319,fried noodles,8,3.0,4.845828699861823e-05
320,english walnuts,8,3.0,4.845828699861823e-05
321,white raisins,8,3.0,4.845828699861823e-05
322,coffeecup,8,3.0,4.845828699861823e-05
323,spice,8,3.0,4.845828699861823e-05
324,marjoram,8,3.0,4.845828699861823e-05
325,", ",8,3.0,4.845828699861823e-05
326,cream of,8,3.0,4.845828699861823e-05
327,rye,8,3.0,4.845828699861823e-05
328,amonia,8,3.0,4.845828699861823e-05
329,tomato paste,8,3.0,4.845828699861823e-05
330,ginger ale,8,3.0,4.845828699861823e-05
331,tomato sauce,8,3.0,4.845828699861823e-05
332,cooking oil,8,3.0,4.845828699861823e-05
333,fish,8,3.0,4.845828699861823e-05
334,salt codfish,8,3.0,4.845828699861823e-05
335,pumpkin,8,3.0,4.845828699861823e-05
336,peach,8,3.0,4.845828699861823e-05
337,pulp,8,3.0,4.845828699861823e-05
338,blueberries,8,3.0,4.845828699861823e-05
339,cake,8,3.0,4.845828699861823e-05
340,grapefruit,8,3.0,4.845828699861823e-05
341,allspice berries,8,3.0,4.845828699861823e-05
342,almond paste,8,3.0,4.845828699861823e-05
343,butterscotch,8,3.0,4.845828699861823e-05
344,flavoring,8,3.0,4.845828699861823e-05
345,boiled frosting,8,3.0,4.845828699861823e-05
346,bitter chocolate,8,3.0,4.845828699861823e-05
347,bitter,8,3.0,4.845828699861823e-05
348,boiled,8,3.0,4.845828699861823e-05
349,french,8,3.0,4.845828699861823e-05
350,asparagus,8,3.0,4.845828699861823e-05
351,chervil,8,3.0,4.845828699861823e-05
352,bread flour,8,3.0,4.845828699861823e-05
353,chopped nut meats,7,2.807354922,3.99671668377819e-05
354,yolks of,7,2.807354922,3.99671668377819e-05
355,oatmeal,7,2.807354922,3.99671668377819e-05
356,whole wheat flour,7,2.807354922,3.99671668377819e-05
357,black coffee,7,2.807354922,3.99671668377819e-05
358,boiled potatoes,7,2.807354922,3.99671668377819e-05
359,rye flour,7,2.807354922,3.99671668377819e-05
360,powdered cinnamon,6,2.584962501,3.199775893269047e-05
361,hickory,6,2.584962501,3.199775893269047e-05
362,raw mutton,6,2.584962501,3.199775893269047e-05
363,cup,6,2.584962501,3.199775893269047e-05
364,shelled pecans,6,2.584962501,3.199775893269047e-05
365,boiled coffee,6,2.584962501,3.199775893269047e-05
366,baker ' s chocolate,6,2.584962501,3.199775893269047e-05
367,pearl tapioca,6,2.584962501,3.199775893269047e-05
368,hard boiled eggs,6,2.584962501,3.199775893269047e-05
369,banana,6,2.584962501,3.199775893269047e-05
370,red cherries,6,2.584962501,3.199775893269047e-05
371,orange peel,6,2.584962501,3.199775893269047e-05
372,lemon jello,6,2.584962501,3.199775893269047e-05
373,yellow cornmeal,6,2.584962501,3.199775893269047e-05
374,savory,6,2.584962501,3.199775893269047e-05
375,chili powder,6,2.584962501,3.199775893269047e-05
376,tamale,6,2.584962501,3.199775893269047e-05
377,crackers,6,2.584962501,3.199775893269047e-05
378,shrimps,6,2.584962501,3.199775893269047e-05
379,crabs,6,2.584962501,3.199775893269047e-05
380,vegetables,6,2.584962501,3.199775893269047e-05
381,bayleaf,6,2.584962501,3.199775893269047e-05
382,chili sauce,6,2.584962501,3.199775893269047e-05
383,chives,6,2.584962501,3.199775893269047e-05
384,lean pork,6,2.584962501,3.199775893269047e-05
385,pep,6,2.584962501,3.199775893269047e-05
386,pine,6,2.584962501,3.199775893269047e-05
387,white of,6,2.584962501,3.199775893269047e-05
388,cream of tar,6,2.584962501,3.199775893269047e-05
389,al,6,2.584962501,3.199775893269047e-05
390,blackberry jam,6,2.584962501,3.199775893269047e-05
391,nutmegs,6,2.584962501,3.199775893269047e-05
392,canned corn,6,2.584962501,3.199775893269047e-05
393,knuckle,6,2.584962501,3.199775893269047e-05
394,okra,6,2.584962501,3.199775893269047e-05
395,winter wheat,6,2.584962501,3.199775893269047e-05
396,powder sugar,6,2.584962501,3.199775893269047e-05
397,syrup,6,2.584962501,3.199775893269047e-05
398,madeira,6,2.584962501,3.199775893269047e-05
399,red wine,6,2.584962501,3.199775893269047e-05
400,curry powder,6,2.584962501,3.199775893269047e-05
401,american cheese,6,2.584962501,3.199775893269047e-05
402,ripe tomatoes,6,2.584962501,3.199775893269047e-05
403,red peppers,6,2.584962501,3.199775893269047e-05
404,beet,6,2.584962501,3.199775893269047e-05
405,white mustard,6,2.584962501,3.199775893269047e-05
406,whole cloves,6,2.584962501,3.199775893269047e-05
407,eggnog,6,2.584962501,3.199775893269047e-05
408,white grapes,6,2.584962501,3.199775893269047e-05
409,grated pineapple,6,2.584962501,3.199775893269047e-05
410,sugar sirup,6,2.584962501,3.199775893269047e-05
411,boiled ham,6,2.584962501,3.199775893269047e-05
412,grape jelly,6,2.584962501,3.199775893269047e-05
413,drippings,6,2.584962501,3.199775893269047e-05
414,duck,6,2.584962501,3.199775893269047e-05
415,swiss cheese,6,2.584962501,3.199775893269047e-05
416,sweet potatoes,6,2.584962501,3.199775893269047e-05
417,white grape - juice,6,2.584962501,3.199775893269047e-05
418,cranberry,6,2.584962501,3.199775893269047e-05
419,french chestnuts,6,2.584962501,3.199775893269047e-05
420,#NAME?,6,2.584962501,3.199775893269047e-05
421,tapioca,6,2.584962501,3.199775893269047e-05
422,macaroons,6,2.584962501,3.199775893269047e-05
423,peppermint,6,2.584962501,3.199775893269047e-05
424,meats,6,2.584962501,3.199775893269047e-05
425,sour,6,2.584962501,3.199775893269047e-05
426,moist,6,2.584962501,3.199775893269047e-05
427,applesauce,6,2.584962501,3.199775893269047e-05
428,clove,6,2.584962501,3.199775893269047e-05
429,capers,6,2.584962501,3.199775893269047e-05
430,raw cabbage,6,2.584962501,3.199775893269047e-05
431,fried tomatoes,6,2.584962501,3.199775893269047e-05
432,cottage cheese,6,2.584962501,3.199775893269047e-05
433,stewed tomatoes,6,2.584962501,3.199775893269047e-05
434,top,6,2.584962501,3.199775893269047e-05
435,thin,6,2.584962501,3.199775893269047e-05
436,currant jelly,6,2.584962501,3.199775893269047e-05
437,drawn,6,2.584962501,3.199775893269047e-05
438,cooked chicken,6,2.584962501,3.199775893269047e-05
439,strained tomatoes,6,2.584962501,3.199775893269047e-05
440,bay leaf,6,2.584962501,3.199775893269047e-05
441,lima,6,2.584962501,3.199775893269047e-05
442,pimiento,6,2.584962501,3.199775893269047e-05
443,powdered allspice,5,2.321928095,2.45971716067764e-05
444,extract,5,2.321928095,2.45971716067764e-05
445,cod,5,2.321928095,2.45971716067764e-05
446,english walnut meats,5,2.321928095,2.45971716067764e-05
447,eggplant,5,2.321928095,2.45971716067764e-05
448,noodles,5,2.321928095,2.45971716067764e-05
449,shredded,5,2.321928095,2.45971716067764e-05
450,spices,5,2.321928095,2.45971716067764e-05
451,white wine,5,2.321928095,2.45971716067764e-05
452,pimientos,5,2.321928095,2.45971716067764e-05
453,tart apples,5,2.321928095,2.45971716067764e-05
454,scalded milk,5,2.321928095,2.45971716067764e-05
455,baked tomatoes,5,2.321928095,2.45971716067764e-05
456,cooked fish,5,2.321928095,2.45971716067764e-05
457,button,5,2.321928095,2.45971716067764e-05
458,lobster,5,2.321928095,2.45971716067764e-05
459,lentils,4,2.0,1.7826807541177047e-05
460,green toma,4,2.0,1.7826807541177047e-05
461,boiling,4,2.0,1.7826807541177047e-05
462,candied orange peel,4,2.0,1.7826807541177047e-05
463,haddock,4,2.0,1.7826807541177047e-05
464,macaroni rings,4,2.0,1.7826807541177047e-05
465,marrow,4,2.0,1.7826807541177047e-05
466,liquid,4,2.0,1.7826807541177047e-05
467,whole wheat,4,2.0,1.7826807541177047e-05
468,coco,4,2.0,1.7826807541177047e-05
469,white corn syrup,4,2.0,1.7826807541177047e-05
470,red hot sauce,4,2.0,1.7826807541177047e-05
471,tomato catsup,4,2.0,1.7826807541177047e-05
472,hen,4,2.0,1.7826807541177047e-05
473,ground meat,4,2.0,1.7826807541177047e-05
474,broth,4,2.0,1.7826807541177047e-05
475,boiled eggs,4,2.0,1.7826807541177047e-05
476,condensed mushroom soup,4,2.0,1.7826807541177047e-05
477,oleo,4,2.0,1.7826807541177047e-05
478,pimento,4,2.0,1.7826807541177047e-05
479,yellow cheese,4,2.0,1.7826807541177047e-05
480,fruit cocktail,4,2.0,1.7826807541177047e-05
481,wesson,4,2.0,1.7826807541177047e-05
482,sparkling gelatine,4,2.0,1.7826807541177047e-05
483,bavarian,4,2.0,1.7826807541177047e-05
484,corn syrup,4,2.0,1.7826807541177047e-05
485,chocolate cream,4,2.0,1.7826807541177047e-05
486,mousse,4,2.0,1.7826807541177047e-05
487,fruit sherbet,4,2.0,1.7826807541177047e-05
488,jellied,4,2.0,1.7826807541177047e-05
489,eagle brand,4,2.0,1.7826807541177047e-05
490,sliced pineapple,4,2.0,1.7826807541177047e-05
491,black walnuts,4,2.0,1.7826807541177047e-05
492,creamed,4,2.0,1.7826807541177047e-05
493,nutmeats,4,2.0,1.7826807541177047e-05
494,tomato soup,4,2.0,1.7826807541177047e-05
495,tomato pulp,4,2.0,1.7826807541177047e-05
496,baked beans,4,2.0,1.7826807541177047e-05
497,codfish,4,2.0,1.7826807541177047e-05
498,luke,4,2.0,1.7826807541177047e-05
499,entire wheat flour,4,2.0,1.7826807541177047e-05
500,red vinegar,4,2.0,1.7826807541177047e-05
501,ginger root juice,4,2.0,1.7826807541177047e-05
502,spicery powder,4,2.0,1.7826807541177047e-05
503,fungus,4,2.0,1.7826807541177047e-05
504,sour ginger,4,2.0,1.7826807541177047e-05
505,bell,4,2.0,1.7826807541177047e-05
506,dry bread crumbs,4,2.0,1.7826807541177047e-05
507,hamburg steak,4,2.0,1.7826807541177047e-05
508,fine,4,2.0,1.7826807541177047e-05
509,dry bread,4,2.0,1.7826807541177047e-05
510,clams,4,2.0,1.7826807541177047e-05
511,heinz chili sauce,4,2.0,1.7826807541177047e-05
512,cin,4,2.0,1.7826807541177047e-05
513,cut,4,2.0,1.7826807541177047e-05
514,cracker,4,2.0,1.7826807541177047e-05
515,pineapple cream,4,2.0,1.7826807541177047e-05
516,graham cracker crumbs,4,2.0,1.7826807541177047e-05
517,seed,4,2.0,1.7826807541177047e-05
518,stoned dates,4,2.0,1.7826807541177047e-05
519,rolled oats,4,2.0,1.7826807541177047e-05
520,rose,4,2.0,1.7826807541177047e-05
521,mashed,4,2.0,1.7826807541177047e-05
522,namon,4,2.0,1.7826807541177047e-05
523,saleratus,4,2.0,1.7826807541177047e-05
524,granul,4,2.0,1.7826807541177047e-05
525,champagne,4,2.0,1.7826807541177047e-05
526,claret,4,2.0,1.7826807541177047e-05
527,egg white,4,2.0,1.7826807541177047e-05
528,sweet butter,4,2.0,1.7826807541177047e-05
529,grated orange rind,4,2.0,1.7826807541177047e-05
530,leaves,4,2.0,1.7826807541177047e-05
531,shallots,4,2.0,1.7826807541177047e-05
532,rump,4,2.0,1.7826807541177047e-05
533,marsala wine,4,2.0,1.7826807541177047e-05
534,cooking fat,4,2.0,1.7826807541177047e-05
535,bouillon,4,2.0,1.7826807541177047e-05
536,raw smoked ham,4,2.0,1.7826807541177047e-05
537,potato balls,4,2.0,1.7826807541177047e-05
538,tomato catchup,4,2.0,1.7826807541177047e-05
539,boiled beets,4,2.0,1.7826807541177047e-05
540,steak,4,2.0,1.7826807541177047e-05
541,cooked beets,4,2.0,1.7826807541177047e-05
542,watermelon,4,2.0,1.7826807541177047e-05
543,pears,4,2.0,1.7826807541177047e-05
544,plums,4,2.0,1.7826807541177047e-05
545,turmeric,4,2.0,1.7826807541177047e-05
546,evaporated milk,4,2.0,1.7826807541177047e-05
547,mashed strawberries,4,2.0,1.7826807541177047e-05
548,lemonade,4,2.0,1.7826807541177047e-05
549,cold strong coffee,4,2.0,1.7826807541177047e-05
550,swiss,4,2.0,1.7826807541177047e-05
551,meat stock,4,2.0,1.7826807541177047e-05
552,pork liver,4,2.0,1.7826807541177047e-05
553,crab,4,2.0,1.7826807541177047e-05
554,#NAME?,4,2.0,1.7826807541177047e-05
555,grapes,4,2.0,1.7826807541177047e-05
556,sour apples,4,2.0,1.7826807541177047e-05
557,cider vinegar,4,2.0,1.7826807541177047e-05
